1.00419		0		536
1.0093		536		1337
1.01528		1337		2138
1.02167		2138		2939
1.02999		2939		3740
1.03831		3740		4541
1.04663		4541		5342
1.05495		5342		6143
1.06327		6143		6944
1.07159		6944		7745
1.07991		7745		8546
1.08823		8546		9347
1.09655		9347		10148
1.10487		10148		10949
1.11319		10949		11750
1.12151		11750		12551
1.12983		12551		13352
1.13815		13352		14153
1.1548		14153		15021
1.164		15021		15040
1.17232		15040		15059
1.18064		15059		15078
1.18896		15078		15097
1.19728		15097		15116
1.2056		15116		15135
1.21392		15135		15153
1.22224		15153		15171
1.23056		15171		15189
1.23888		15189		15207
1.2472		15207		15225
1.25552		15225		15243
1.26384		15243		15261
1.27216		15261		15279
1.28048		15279		15297
1.2888		15297		15315
1.29712		15315		15333
1.30544		15333		15351
1.31376		15351		15369
1.32208		15369		15387
1.3304		15387		15405
1.33872		15405		15423
1.34704		15423		15441
1.35536		15441		15459
1.36368		15459		15477
1.372		15477		15495
1.38032		15495		15513
1.38864		15513		15531
1.4053		15531		8324616
1.4136		8324616		8324617
1.43026		8324617		167027416
1.43856		167027416		167027417
1.44688		167027417		167027418
1.4552		167027418		167027419
1.46352		167027419		167027420
1.47184		167027420		167027421
1.48016		167027421		167027422
1.48848		167027422		167027423
1.4968		167027423		167027424
1.50512		167027424		167027425
1.51344		167027425		167027426
1.52176		167027426		167027427
1.53008		167027427		167027428
1.5384		167027428		167027429
1.54672		167027429		167027430
1.55504		167027430		167027431
1.56336		167027431		167027432
1.57168		167027432		167027433
1.58		167027433		167027434
1.58832		167027434		167027435
1.59664		167027435		167027436
1.60496		167027436		167027437
1.61328		167027437		167027438
1.6216		167027438		167027439
1.62992		167027439		167027440
1.63824		167027440		167027441
1.64656		167027441		167027442
1.65488		167027442		167027443
1.6632		167027443		167027444
1.67152		167027444		167027445
1.67984		167027445		167027446
1.68816		167027446		167027447
1.69648		167027447		167027448
1.7048		167027448		167027449
1.71312		167027449		167027450
1.72144		167027450		167027451
1.72976		167027451		167027452
1.73808		167027452		167027453
1.7464		167027453		167027454
1.75472		167027454		167027455
1.76304		167027455		167027456
1.77136		167027456		167027457
1.77968		167027457		167027458
1.788		167027458		167027459
1.79632		167027459		167027460
1.80464		167027460		167027461
1.81296		167027461		167027462
1.82128		167027462		167027463
1.8296		167027463		167027464
1.83792		167027464		167027465
1.84624		167027465		167027466
1.85456		167027466		167027467
1.86288		167027467		167027468
1.8712		167027468		167027469
